,name_school,latitude_school,longitude_school,type_technology,latitude_service_point,longitude_service_point,tower_range_meters,distance_km_school_service_point
0,EP MUSHUBI,-1.6318,29.7998,ADSL,-1.544,29.7467,,11.4096
1,EP MUSHUBI,-1.6318,29.7998,cellular_tower,-1.6348,29.801,7571.0,0.3541
2,EP MUSHUBI,-1.6318,29.7998,cellular_tower,-1.6349,29.7931,8414.0,0.8193
3,EP MUSHUBI,-1.6318,29.7998,cellular_tower,-1.6429,29.7986,5336.0,1.2364
4,EP MUSHUBI,-1.6318,29.7998,cellular_tower,-1.6316,29.7884,8822.0,1.2684
5,EP MUSHUBI,-1.6318,29.7998,cellular_tower,-1.6438,29.7947,7090.0,1.4453
6,EP KARIYERI,-1.6215,29.4268,EVDSL,-1.5339,29.4327,,9.7619
7,EP KARIYERI,-1.6215,29.4268,FTTC,-1.6156,29.5198,,10.3563
8,EP KARIYERI,-1.6215,29.4268,ADSL,-1.7524,29.4441,,14.677
9,EP KARIYERI,-1.6215,29.4268,cellular_tower,-1.6223,29.4286,6928.0,0.2157
10,EP KARIYERI,-1.6215,29.4268,cellular_tower,-1.6239,29.4265,1000.0,0.2665
11,EP KARIYERI,-1.6215,29.4268,cellular_tower,-1.6239,29.4265,1000.0,0.2665
12,EP KARIYERI,-1.6215,29.4268,cellular_tower,-1.6237,29.4255,1000.0,0.2829
13,EP KARIYERI,-1.6215,29.4268,cellular_tower,-1.6214,29.4296,1000.0,0.3092
14,EP MATABA SUD,-2.1478,29.9396,FTTH,-2.1349,29.8361,,11.5951
15,EP MATABA SUD,-2.1478,29.9396,cellular_tower,-2.1975,29.9109,1122.0,6.3805
16,EP MATABA SUD,-2.1478,29.9396,cellular_tower,-2.1975,29.9109,1122.0,6.3805
17,EP MATABA SUD,-2.1478,29.9396,cellular_tower,-2.1975,29.9109,1122.0,6.3805
18,EP MATABA SUD,-2.1478,29.9396,cellular_tower,-2.1975,29.9109,1122.0,6.3805
19,EP MATABA SUD,-2.1478,29.9396,cellular_tower,-2.1917,29.9026,1000.0,6.3821
20,MWEYA,-2.2971,29.2442,FTTH,-2.3438,29.2427,,5.1898
21,MWEYA,-2.2971,29.2442,FTTC,-2.2373,29.2312,,6.8048
22,MWEYA,-2.2971,29.2442,ADSL,-2.287,29.1669,,8.6599
23,MWEYA,-2.2971,29.2442,FTTC,-2.4008,29.1733,,13.9627
24,MWEYA,-2.2971,29.2442,cellular_tower,-2.2698,29.2032,1000.0,5.4785
25,MWEYA,-2.2971,29.2442,cellular_tower,-2.2613,29.2093,3482.0,5.562
26,MWEYA,-2.2971,29.2442,cellular_tower,-2.2714,29.2012,1000.0,5.5713
27,MWEYA,-2.2971,29.2442,cellular_tower,-2.2714,29.2012,1000.0,5.5713
28,MWEYA,-2.2971,29.2442,cellular_tower,-2.2714,29.2012,1000.0,5.5713
29,ECD KIBIRIZI,-2.4429,29.562,EVDSL,-2.4705,29.5177,,5.8027
30,ECD KIBIRIZI,-2.4429,29.562,EVDSL,-2.5006,29.5734,,6.5437
31,ECD KIBIRIZI,-2.4429,29.562,FTTC,-2.3312,29.5658,,12.4285
32,ECD KIBIRIZI,-2.4429,29.562,FTTH,-2.3854,29.6658,,13.1858
33,ECD KIBIRIZI,-2.4429,29.562,cellular_tower,-2.4689,29.5751,1000.0,3.2424
34,ECD KIBIRIZI,-2.4429,29.562,cellular_tower,-2.4719,29.5749,2408.0,3.5344
35,ECD KIBIRIZI,-2.4429,29.562,cellular_tower,-2.4704,29.5779,1000.0,3.5371
36,ECD KIBIRIZI,-2.4429,29.562,cellular_tower,-2.474,29.5708,2381.0,3.5991
37,ECD KIBIRIZI,-2.4429,29.562,cellular_tower,-2.4751,29.5705,1292.0,3.7083
38,EP NYARUNAZI,-1.9394,30.5673,EVDSL,-1.9849,30.6206,,7.7952
39,EP NYARUNAZI,-1.9394,30.5673,cellular_tower,-1.9614,30.538,1000.0,4.0745
40,EP NYARUNAZI,-1.9394,30.5673,cellular_tower,-1.9668,30.5422,1585.0,4.1328
41,EP NYARUNAZI,-1.9394,30.5673,cellular_tower,-1.9757,30.5533,1000.0,4.3279
42,EP NYARUNAZI,-1.9394,30.5673,cellular_tower,-1.9678,30.5405,7763.0,4.3428
